m_rx,trial,receiver,weak_target,arm,realisation,t_h1,t_h0,dT,covariance_protection
4,1,0,1,hard,6,4.821147209543487,14.67022693657909,-9.849079727035601,False
4,1,0,1,hard,7,3.632140016421059,8.269456040942595,-4.637316024521536,False
4,1,0,1,adaptive,0,6.81143707860768,7.3890520105702855,-0.5776149319626054,False
4,1,0,1,adaptive,1,2.557268969147579,6.221440441884277,-3.664171472736698,False
4,1,0,1,adaptive,2,10.505136533767441,3.120296774018692,7.384839759748749,False
4,1,0,1,adaptive,3,6.1481931143632185,13.011802706717663,-6.863609592354445,False
4,1,0,1,adaptive,4,9.521819063036595,2.7432094524795207,6.778609610557075,False
4,1,0,1,adaptive,5,2.687849122518204,4.906758672358858,-2.2189095498406544,False
4,1,0,1,adaptive,6,4.820980021610099,14.666011302050874,-9.845031280440775,False
4,1,0,1,adaptive,7,3.6285953336233385,8.2712793102493,-4.642683976625961,False
4,1,1,1,hard,0,3.6420418545613265,8.538492779440013,-4.896450924878686,False
4,1,1,1,hard,1,6.45977443429313,8.45734963861848,-1.9975752043253499,False
4,1,1,1,hard,2,7.943491449549856,7.542213388172616,0.40127806137723976,False
4,1,1,1,hard,3,3.564521943940567,3.2314735819002487,0.3330483620403184,False
4,1,1,1,hard,4,13.948532178775451,9.957045793128644,3.991486385646807,False
4,1,1,1,hard,5,5.055016831723515,3.1996999614320893,1.8553168702914258,False
4,1,1,1,hard,6,5.0092928301109945,8.667130317724483,-3.657837487613489,False
4,1,1,1,hard,7,4.014645268908714,4.111022284353605,-0.09637701544489108,False
4,1,1,1,adaptive,0,3.6437992108347124,8.534833787269859,-4.891034576435146,False
4,1,1,1,adaptive,1,6.459038980235896,8.452003350773026,-1.9929643705371305,False
4,1,1,1,adaptive,2,7.941747634462923,7.542381821647316,0.39936581281560724,False
4,1,1,1,adaptive,3,3.566887651919535,3.2296773532618497,0.3372102986576855,False
4,1,1,1,adaptive,4,13.947757530424667,9.956034442294566,3.991723088130101,False
4,1,1,1,adaptive,5,5.053562779917917,3.199900235358252,1.8536625445596653,False
4,1,1,1,adaptive,6,5.0074503861176485,8.666467725655705,-3.6590173395380567,False
4,1,1,1,adaptive,7,4.014357963694322,4.111142052835753,-0.09678408914143066,False
4,1,2,1,hard,0,5.227346831906203,3.9165233800084254,1.310823451897778,False
4,1,2,1,hard,1,5.225695187371981,10.218694816738505,-4.992999629366524,False
4,1,2,1,hard,2,3.940321236185311,5.857497661408201,-1.9171764252228898,False
4,1,2,1,hard,3,10.106252807006348,4.191173143253212,5.9150796637531355,False
4,1,2,1,hard,4,8.67749423598711,3.965124258752822,4.712369977234288,False
4,1,2,1,hard,5,9.642340336540741,4.691990023233158,4.950350313307583,False
4,1,2,1,hard,6,5.69315881523189,4.42708524068891,1.2660735745429808,False
4,1,2,1,hard,7,6.204480556196305,2.2526640449798836,3.9518165112164216,False
4,1,2,1,adaptive,0,5.227346831906203,3.9165233800084254,1.310823451897778,False
4,1,2,1,adaptive,1,5.225695187371981,10.218694816738505,-4.992999629366524,False
4,1,2,1,adaptive,2,3.940321236185311,5.857497661408201,-1.9171764252228898,False
