block,area_m,rcs_m2,trial,model,gate,rho,p_default,active_frac,sense_sinr_db,echo_db,field_db,near_far_db,residual_db
A,400.0,0.05,4,orthogonal,False,0.4,2.0,1.0,-15.98277188334286,-138.07941987739864,-83.04866640681391,55.030753470584706,-122.87685109673403
A,400.0,0.05,4,orthogonal,False,0.6,2.0,1.0,-15.84818974685164,-136.31850728684182,-81.2877538162571,55.0307534705847,-121.17245836783597
A,400.0,0.05,4,orthogonal,False,0.8,2.0,1.0,-15.750687717254833,-135.06911992075882,-80.0383664501741,55.030753470584706,-119.95160918222618
A,400.0,0.05,4,orthogonal,False,0.95,2.0,1.0,-15.69477482433048,-134.32278373778976,-79.29203026720506,55.0307534705847,-119.21885681846918
B,400.0,0.05,4,active_set,False,0.8,1.0,1.0,-16.815896953494793,-138.07941987739864,-82.07956627673335,55.99985360066527,-122.01002236691492
B,400.0,0.05,4,active_set,True,0.8,1.0,1.0,-16.815896953494793,-138.07941987739864,-82.07956627673335,55.99985360066527,-122.01002236691492
B,400.0,0.05,4,active_set,True,0.8,1.0,0.5,-14.268049257531652,-138.07941987739864,-85.61825715689109,52.461162720507545,-125.46272851213376
A,400.0,0.05,5,active_set,False,0.2,1.0,1.0,-23.988027098319108,-145.6487744269273,-81.6193669442368,64.02940748269049,-121.55676509628229
A,400.0,0.05,5,active_set,False,0.4,1.0,1.0,-20.977727141679296,-142.6384744702875,-81.6193669442368,61.019107526050675,-121.55676509628229
A,400.0,0.05,5,active_set,False,0.6,1.0,1.0,-19.216814551122482,-140.87756187973068,-81.6193669442368,59.25819493549386,-121.55676509628229
A,400.0,0.05,5,active_set,False,0.8,1.0,1.0,-17.967427185039483,-139.62817451364768,-81.6193669442368,58.00880756941086,-121.55676509628229
A,400.0,0.05,5,active_set,False,0.95,1.0,1.0,-17.221091002070445,-138.88183833067865,-81.6193669442368,57.262471386441824,-121.55676509628229
A,400.0,0.05,5,active_set,False,0.2,2.0,1.0,-23.831842888065772,-142.6384744702875,-78.609066987597,64.02940748269049,-118.54646513964249
A,400.0,0.05,5,active_set,False,0.4,2.0,1.0,-20.82154293142596,-139.62817451364768,-78.609066987597,61.019107526050675,-118.54646513964249
A,400.0,0.05,5,active_set,False,0.6,2.0,1.0,-19.06063034086915,-137.86726192309087,-78.609066987597,59.25819493549386,-118.54646513964249
A,400.0,0.05,5,active_set,False,0.8,2.0,1.0,-17.811242974786147,-136.61787455700787,-78.609066987597,58.00880756941086,-118.54646513964249
A,400.0,0.05,5,active_set,False,0.95,2.0,1.0,-17.06490679181711,-135.87153837403883,-78.609066987597,57.262471386441824,-118.54646513964249
A,400.0,0.05,5,orthogonal,False,0.2,1.0,1.0,-18.22578749294166,-145.6487744269273,-88.60906698759699,57.0397074393303,-128.30470931363962
A,400.0,0.05,5,orthogonal,False,0.4,1.0,1.0,-17.48201454196921,-142.6384744702875,-85.59876703095718,57.0397074393303,-125.44392253026115
A,400.0,0.05,5,orthogonal,False,0.6,1.0,1.0,-17.2384971326291,-140.87756187973068,-83.83785444040036,57.0397074393303,-123.73401379519402
A,400.0,0.05,5,orthogonal,False,0.8,1.0,1.0,-17.092070962182618,-139.62817451364768,-82.58846707431736,57.0397074393303,-122.51035475218328
A,400.0,0.05,5,orthogonal,False,0.95,1.0,1.0,-17.017050794087666,-138.88183833067865,-81.84213089134832,57.0397074393303,-121.77625907382337
A,400.0,0.05,5,orthogonal,False,0.2,2.0,1.0,-17.662699066589653,-142.6384744702875,-85.59876703095718,57.0397074393303,-125.29440935699981
A,400.0,0.05,5,orthogonal,False,0.4,2.0,1.0,-17.178105596145485,-139.62817451364768,-82.58846707431736,57.0397074393303,-122.43362257362134
A,400.0,0.05,5,orthogonal,False,0.6,2.0,1.0,-17.00035910257522,-137.86726192309087,-80.82755448376055,57.0397074393303,-120.7237138385542
A,400.0,0.05,5,orthogonal,False,0.8,2.0,1.0,-16.893397610040118,-136.61787455700787,-79.57816711767757,57.0397074393303,-119.50005479554346
A,400.0,0.05,5,orthogonal,False,0.95,2.0,1.0,-16.849585728297136,-135.87153837403883,-78.8318309347085,57.0397074393303,-118.76595911718356
B,400.0,0.05,5,active_set,False,0.8,1.0,1.0,-17.967427185039483,-139.62817451364768,-81.6193669442368,58.00880756941086,-121.55676509628229
B,400.0,0.05,5,active_set,True,0.8,1.0,1.0,-17.967427185039483,-139.62817451364768,-81.6193669442368,58.00880756941086,-121.55676509628229
B,400.0,0.05,5,active_set,True,0.8,1.0,0.5,-15.636908071406184,-139.62817451364768,-84.2385343197539,55.38964019389376,-124.124787829313
A,400.0,0.05,6,active_set,False,0.2,1.0,1.0,-24.644001389647443,-145.9428831864442,-81.61997255128071,64.32291063516348,-121.55736203575786
