split,scene_id,boost_db,receiver,target,two_cpi_h1,two_cpi_h0,perfect_two_cpi_h1,perfect_two_cpi_h0,crossfit_map_h1,crossfit_map_h0
test,3,30.0,3,1,13.221222259682252,13.725809331943758,12.793709270054269,14.032470342178339,13.226553833391439,13.81821480405036
test,3,30.0,3,2,7.984337427572383,6.908377644763215,8.19805847920226,6.776591023860005,8.320136747750214,7.026108059988617
test,3,50.0,0,0,45.80893120252465,15.459784389618545,45.94783627762827,12.726270983323921,45.79951556620263,13.451866802234768
test,3,50.0,0,1,17.848116443861876,13.873333769832195,17.640947364998198,13.944872462399395,17.83783987026774,13.828582223469166
test,3,50.0,0,2,15.637833934311395,11.724928422190132,13.841668637691669,10.691352901348502,13.97097459719571,10.982629267911044
test,3,50.0,1,0,57.21941398519152,24.29207528666433,40.495047299762064,10.162676136427725,39.71149103184713,13.48132245971187
test,3,50.0,1,1,13.537968629124546,19.779334449479443,9.460363893933899,18.530638333435203,9.357362821044795,19.37516449728051
test,3,50.0,1,2,13.845811305319355,13.532696575180928,11.933799344053384,13.241875036354863,12.935550879344335,13.00541214867878
test,3,50.0,2,0,45.17030981815583,19.65388874941301,38.582279300258044,14.348216147050863,37.264406665565545,15.65205764371476
test,3,50.0,2,1,14.824099323121338,19.220350967838044,9.967762047212478,18.09860037758164,10.57832516216408,18.20756331835821
test,3,50.0,2,2,21.198656037138033,27.613328962931085,9.779050341945066,18.742295927864475,10.63366780895974,19.12002012920413
test,3,50.0,3,0,85.717900579079,24.071643679583055,49.28584103555846,13.419079470907565,49.75987890739378,11.97355284287502
test,3,50.0,3,1,20.085217456446998,16.53206681688018,16.53483730322787,13.93611172454809,16.412775834939353,13.950279485697683
test,3,50.0,3,2,12.607949847757721,10.948101723789325,12.854822851209153,9.476874719728405,11.466831277594778,9.731214266243674
test,4,10.0,0,0,24.44658245082056,10.35843394589082,24.428548273595382,9.869232049809863,24.37013053367219,10.222420386768725
test,4,10.0,0,1,15.304806747788493,15.032107216068368,14.808248319420535,14.681155005361079,15.520678666075613,14.120236029318782
test,4,10.0,0,2,23.497008904217846,13.934755413145218,24.39890778261585,14.938077450564192,23.37123617721111,13.74602231639967
test,4,10.0,1,0,13.379986519943134,17.101559441833615,13.71242809806963,16.959027203019296,13.786783997633112,16.803432791976537
