split,scene_id,scale,stat_h0,stat_h1,h0_inflation
calibration,29,0.75,7.647480603012335,5.259101314735488,1.529496120602467
calibration,29,1.0,7.595541866319542,5.384030768872282,1.5191083732639084
calibration,29,1.5,7.567653575212437,5.5965450358703865,1.5135307150424873
calibration,29,2.0,7.571722256405161,5.755615782009735,1.5143444512810322
calibration,30,0.5,5.36153157791359,6.719217405705872,1.072306315582718
calibration,30,0.75,5.365577909635479,6.573333572159047,1.0731155819270959
calibration,30,1.0,5.372407807219881,6.4900027107319245,1.0744815614439762
calibration,30,1.5,5.387596474782646,6.39576220733783,1.0775192949565293
calibration,30,2.0,5.40169912622224,6.342938566154835,1.0803398252444478
calibration,31,0.5,6.357375127568608,3.3184368922494527,1.2714750255137217
calibration,31,0.75,6.320863891168262,3.30458242532576,1.2641727782336525
calibration,31,1.0,6.294660448705261,3.2939915424507245,1.258932089741052
calibration,31,1.5,6.25950314541059,3.2791815419350705,1.251900629082118
calibration,31,2.0,6.236760484509404,3.269202899527756,1.2473520969018808
calibration,32,0.5,9.879751942300288,9.136461610247544,1.9759503884600575
calibration,32,0.75,9.916721570211418,9.142349866715827,1.9833443140422837
calibration,32,1.0,9.932710775842864,9.14371454788599,1.9865421551685727
calibration,32,1.5,9.936136283608857,9.142780190494054,1.9872272567217713
calibration,32,2.0,9.924320476117899,9.140873893372419,1.9848640952235796
calibration,33,0.5,6.0407056095657845,10.396592923425578,1.2081411219131568
calibration,33,0.75,5.920370617719049,10.456191041593808,1.18407412354381
calibration,33,1.0,5.849368702407368,10.507621709610014,1.1698737404814736
calibration,33,1.5,5.767141611348574,10.561170832423176,1.1534283222697148
calibration,33,2.0,5.719583317289886,10.588463546473502,1.1439166634579772
calibration,34,0.5,11.814331693441002,9.745328687806175,2.3628663386882005
calibration,34,0.75,11.898267311807388,9.70230499596753,2.3796534623614773
calibration,34,1.0,11.947069789675082,9.691709899662335,2.3894139579350164
calibration,34,1.5,12.005494933604973,9.684165405556328,2.401098986720995
calibration,34,2.0,12.041516765985032,9.669354841935942,2.4083033531970064
calibration,35,0.5,12.896777281890568,7.122916759024344,2.5793554563781136
calibration,35,0.75,12.30595156237656,7.121326865314693,2.461190312475312
calibration,35,1.0,11.94423093445813,7.163075204657244,2.3888461868916258
calibration,35,1.5,11.523010609663642,7.27108351804741,2.3046021219327284
calibration,35,2.0,11.283412250821952,7.371322259907064,2.2566824501643903
calibration,36,0.5,4.1738716830017335,10.31168462589705,0.8347743366003467
calibration,36,0.75,4.2272239348561556,10.32670898297325,0.8454447869712312
calibration,36,1.0,4.268623090507137,10.336331274704186,0.8537246181014273
calibration,36,1.5,4.330550956750362,10.350795306458052,0.8661101913500724
calibration,36,2.0,4.376310757545325,10.3633776047908,0.8752621515090651
calibration,37,0.5,10.400569872833804,4.532500232390711,2.080113974566761
calibration,37,0.75,10.44853476721033,4.490383484544304,2.089706953442066
calibration,37,1.0,10.484423100823747,4.465433998837176,2.0968846201647495
calibration,37,1.5,10.53436320664526,4.43665388417952,2.106872641329052
calibration,37,2.0,10.567893269560589,4.420096647967183,2.1135786539121177
calibration,38,0.5,2.615161174751818,6.466134094568311,0.5230322349503636
calibration,38,0.75,2.720841184520004,6.436121483420099,0.5441682369040007
calibration,38,1.0,2.7988857391848336,6.417142318127425,0.5597771478369667
calibration,38,1.5,2.905561146042499,6.393550335665955,0.5811122292084998
calibration,38,2.0,2.9743011873301834,6.378367731445038,0.5948602374660367
calibration,39,0.5,2.930989680016467,9.723381226469913,0.5861979360032934
calibration,39,0.75,2.937066164225612,9.73541644163071,0.5874132328451224
calibration,39,1.0,2.9415177587871346,9.746511377339052,0.5883035517574269
calibration,39,1.5,2.9478341767424845,9.763899842813343,0.5895668353484969
calibration,39,2.0,2.952272283990852,9.776434789765233,0.5904544567981704
test,40,0.5,6.291196575209605,4.006355542584678,1.2582393150419209
test,40,0.75,6.346413517549297,3.9954442909907693,1.2692827035098593
test,40,1.0,6.387407308568349,3.9893109937455686,1.2774814617136698
test,40,1.5,6.4482941882412375,3.982103297829757,1.2896588376482474
test,40,2.0,6.493487191909786,3.9776787112554532,1.2986974383819572
test,41,0.5,5.689836232502024,6.781467227135112,1.137967246500405
test,41,0.75,5.484509049508532,7.039815616966812,1.0969018099017063
test,41,1.0,5.368363363701928,7.186683478360969,1.0736726727403856
test,41,1.5,5.239217708511852,7.343716251697876,1.0478435417023704
test,41,2.0,5.16792405391151,7.423769670289403,1.033584810782302
test,42,0.5,2.837919723032643,8.114519530013833,0.5675839446065286
test,42,0.75,2.828598435309924,8.099508876049933,0.5657196870619848
test,42,1.0,2.8242883661057236,8.091598134262707,0.5648576732211448
test,42,1.5,2.820299545638846,8.083303800326231,0.5640599091277692
test,42,2.0,2.818357205749855,8.07916112158773,0.563671441149971
test,43,0.5,6.304257455289693,6.8125193034933496,1.2608514910579385
test,43,0.75,6.279930760487162,6.8880607847130495,1.2559861520974325
test,43,1.0,6.2740566803425075,6.921995420403858,1.2548113360685016
test,43,1.5,6.282029856817006,6.946319750788188,1.2564059713634013
test,43,2.0,6.298920017382022,6.995562376819848,1.2597840034764043
test,44,0.5,5.6695762721850205,8.522124847094132,1.1339152544370041
test,44,0.75,5.655421962952186,8.476654206263797,1.1310843925904372
test,44,1.0,5.663033582508135,8.440119623595479,1.132606716501627
test,44,1.5,5.67045683296773,8.389301483712718,1.134091366593546
test,44,2.0,5.675591539172405,8.356278998658757,1.135118307834481
test,45,0.5,5.197976512424594,4.370456273759202,1.0395953024849187
test,45,0.75,5.202772911686162,4.371757524333216,1.0405545823372324
test,45,1.0,5.2065652154303175,4.372090094638135,1.0413130430860635
test,45,1.5,5.212440589288589,4.371768702396807,1.0424881178577179
test,45,2.0,5.216900759734849,4.371163328762716,1.0433801519469699
test,46,0.5,6.891720395001897,6.580761313681418,1.3783440790003794
test,46,0.75,6.911543384884647,6.612948629725186,1.3823086769769293
test,46,1.0,6.9255894800179565,6.630797061960272,1.3851178960035913
test,46,1.5,6.9441317823720805,6.649571939681802,1.388826356474416
test,46,2.0,6.955812249724888,6.658903292839228,1.3911624499449775
test,47,0.5,8.405164178444316,11.175988230885991,1.6810328356888633
test,47,0.75,7.326717184602005,9.391942737912746,1.465343436920401
test,47,1.0,7.821048614925834,9.528981051116912,1.5642097229851668
test,47,1.5,8.236872642303512,9.730274153197204,1.6473745284607024
test,47,2.0,8.357747377498061,9.84137882937506,1.6715494754996123
test,48,0.5,2.723253301334982,12.223937285941256,0.5446506602669964
test,48,0.75,2.7168270676582593,12.067774491749892,0.5433654135316519
test,48,1.0,2.7153386174555965,11.959051849032894,0.5430677234911193
test,48,1.5,2.716933005889443,11.851223485891785,0.5433866011778886
test,48,2.0,2.720284799827636,11.830463890420182,0.5440569599655272
test,49,0.5,6.295516469118979,6.143033651063174,1.2591032938237958
test,49,0.75,6.302657115712688,6.15919040346062,1.2605314231425377
test,49,1.0,6.306270800389697,6.171069509571549,1.2612541600779394
test,49,1.5,6.309579117774021,6.188456676554475,1.2619158235548043
test,49,2.0,6.310780179078164,6.201308280830139,1.2621560358156327
test,50,0.5,13.528715595955049,10.211447635388092,2.70574311919101
