receiver,illuminator,target,rho,trial,m_rx,axis
2,6,3,0.8719970144879041,0,8,0
2,6,4,0.9783871911993718,0,8,0
2,6,5,0.9983029716159475,0,8,0
2,6,6,0.8844522699725985,0,8,0
2,6,7,0.9243585004801764,0,8,0
2,6,8,0.1708038398092333,0,8,0
2,6,9,0.11707034695664009,0,8,0
2,7,0,0.9783241348527331,0,8,0
2,7,1,0.9972793281529321,0,8,0
2,7,2,0.9222900319344128,0,8,0
2,7,3,0.4341796392912939,0,8,0
2,7,4,0.9215313480837116,0,8,0
2,7,5,0.9775789808938464,0,8,0
2,7,6,0.8851555824609126,0,8,0
2,7,7,0.9505144855475665,0,8,0
2,7,8,0.9550345493821167,0,8,0
2,7,9,0.9995509365060288,0,8,0
2,8,0,0.7027161909391646,0,8,0
2,8,1,0.9811327177524443,0,8,0
2,8,2,0.9955269631374105,0,8,0
2,8,3,0.948435909193709,0,8,0
2,8,4,0.9233192129250171,0,8,0
2,8,5,0.9895566929949053,0,8,0
2,8,6,0.20129977820753076,0,8,0
2,8,7,0.9879644420319625,0,8,0
2,8,8,0.452129404049038,0,8,0
2,8,9,0.998299979689664,0,8,0
2,9,0,0.8732040149210117,0,8,0
2,9,1,0.9992933937742524,0,8,0
2,9,2,0.9098469407042243,0,8,0
2,9,3,0.956986203119176,0,8,0
2,9,4,0.925848461617478,0,8,0
2,9,5,0.9843615277621663,0,8,0
2,9,6,0.20261084378679328,0,8,0
2,9,7,0.99826269777098,0,8,0
2,9,8,0.7170323630138457,0,8,0
2,9,9,0.9580620206901719,0,8,0
2,10,0,0.36883928524553466,0,8,0
2,10,1,0.9979205776957671,0,8,0
2,10,2,0.40246637779286276,0,8,0
2,10,3,0.7049381324846178,0,8,0
2,10,4,0.9347025026750871,0,8,0
2,10,5,0.9803448879172411,0,8,0
2,10,6,0.2910280253838391,0,8,0
2,10,7,0.999338865116576,0,8,0
2,10,8,0.2619039688323962,0,8,0
2,10,9,0.4446485559091964,0,8,0
2,11,0,0.9527376296895769,0,8,0
2,11,1,0.9922625246989198,0,8,0
2,11,2,0.9588457778855334,0,8,0
2,11,3,0.40628850766416247,0,8,0
2,11,4,0.9424912343378765,0,8,0
2,11,5,0.9786893602848734,0,8,0
2,11,6,0.1150707914264727,0,8,0
2,11,7,0.9918613774203942,0,8,0
2,11,8,0.9123746587225083,0,8,0
2,11,9,0.6011038289783273,0,8,0
2,12,0,0.9940962829432386,0,8,0
2,12,1,0.9991590413230369,0,8,0
2,12,2,0.9075018021345982,0,8,0
2,12,3,0.6176611748267669,0,8,0
2,12,4,0.9556210728027478,0,8,0
2,12,5,0.9744964973408508,0,8,0
2,12,6,0.89849146892285,0,8,0
2,12,7,0.9985411856413102,0,8,0
2,12,8,0.9244410927908375,0,8,0
2,12,9,0.7139722791688586,0,8,0
2,13,0,0.6613894084291085,0,8,0
2,13,1,0.9687851016162743,0,8,0
2,13,2,0.7809030946269542,0,8,0
2,13,3,0.5633219883896307,0,8,0
2,13,4,0.963563972663388,0,8,0
2,13,5,0.9895919363938859,0,8,0
2,13,6,0.9063655341864844,0,8,0
2,13,7,0.9993481967850601,0,8,0
2,13,8,0.6386075560326536,0,8,0
2,13,9,0.34536466645050656,0,8,0
