split,scene_id,receiver,target,realisation,direct_gain_boost_db,arm,conflict_index,direct_inr_db,stat_h0,stat_h1,dof_real,identifiable_fraction,kappa_accounted_db,kappa_structural_db,i_in,i_res,i_res_structural,i_res_estimate,eta_survive_q,eta_survive_field,eta_survive_pred_q,eta_survive_risk_q,eta_protect,protect_dim,n_coefficients,calibration_error_db
calibration,0,0,0,3,0.0,protected_ls,0.001824874565443671,2.146398641705109,6.823410945329362,10.59668265709281,10,0.9982523925077665,16.67744125712552,16.712115446369793,1.028871250886674e-09,2.2111433873953765e-11,2.193559845751133e-11,1.7583541644243558e-13,0.9998822850190764,0.9999428861427596,1.0,0.9991646338183819,0.9001030206767427,45,5,2.225100307623951
calibration,0,0,0,3,0.0,tp_uic_stage1,0.001824874565443671,2.146398641705109,6.823410155805003,10.596700865339947,10,0.9982524941676137,16.677491645395794,16.71207740802628,1.028871250886674e-09,2.2111177331333672e-11,2.193579058463205e-11,1.753867467016225e-13,0.9998822851936995,0.9999428862934027,1.0,0.9991646353253402,0.9001030206767427,45,5,2.2250499193536784
calibration,0,0,0,3,0.0,tp_uic_full,0.001824874565443671,2.146398641705109,6.858617107013054,10.633895722579927,10,0.9988421028701032,19.458044948216326,19.538835838805117,1.028871250886674e-09,1.1656187836092365e-11,1.1441354664855663e-11,2.1483317123670186e-13,1.0000073205020743,0.9991558979661994,0.9999950338001693,0.9991074980931544,0.9001030206767427,45,5,17.836539380042094
calibration,0,0,0,3,0.0,perfect_channel,0.001824874565443671,2.146398641705109,6.362411101249692,10.855802733537569,10,0.9988430977670611,inf,inf,1.028871250886674e-09,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.9001030206767427,0,5,nan
calibration,0,0,0,4,0.0,no_ic,0.0019882059452306826,2.1569758276837696,5.027231398631605,4.829197952214632,10,0.9988389476603257,0.0,0.0,1.0313801074248164e-09,1.0313801074248164e-09,1.0313801074248164e-09,0.0,1.0,1.0,1.0,1.0,0.8979026494687233,0,5,0.0
calibration,0,0,0,4,0.0,plain_ls,0.0019882059452306826,2.1569758276837696,5.026944731775761,4.829297696890232,10,0.9988389627840625,15.801621313671435,15.835017991458237,1.0313801074248164e-09,2.7117935248437263e-11,2.6910201618147988e-11,2.077336302892752e-13,0.9999301249636806,0.9984756249553456,0.999978463804154,0.9996971099993776,0.8979026494687233,0,5,21.51396112525004
calibration,0,0,0,4,0.0,ridge_ls,0.0019882059452306826,2.1569758276837696,5.026970764489639,4.829295314295909,10,0.9988389619621189,15.801676733497201,15.834990924640701,1.0313801074248164e-09,2.711758920175227e-11,2.6910369332870866e-11,2.0721986888140383e-13,0.9999301251541279,0.9984756287874819,0.9999784638549275,0.9996971103378991,0.8979026494687233,0,5,21.51390570542427
calibration,0,0,0,4,0.0,protected_ls,0.0019882059452306826,2.1569758276837696,5.0443556403678915,4.778882665879339,10,0.9981764646753505,14.391909597489347,14.414764695654053,1.0313801074248164e-09,3.751697302496728e-11,3.73200555234025e-11,1.969175015647809e-13,0.9998649822224218,0.9999080293674094,1.0,0.999748738770906,0.8979026494687233,45,5,4.882957538900677
calibration,0,0,0,4,0.0,tp_uic_stage1,0.0019882059452306826,2.1569758276837696,5.044346335718446,4.7788837478065656,10,0.9981765852548957,14.391941254384781,14.414744761823554,1.0313801074248164e-09,3.751669955463485e-11,3.732022682039092e-11,1.964727342439285e-13,0.9998649825954138,0.9999080296417269,1.0,0.9997487390502598,0.8979026494687233,45,5,4.882925882005245
calibration,0,0,0,4,0.0,tp_uic_full,0.0019882059452306826,2.1569758276837696,5.027140641484933,4.829218356387745,10,0.9988399472342897,15.80233344106401,15.834986111494691,1.0313801074248164e-09,2.711348899315846e-11,2.691039915678391e-11,2.0308983637455159e-13,0.9999469929191969,0.99884844467008,0.9999956235135212,0.9997065862303984,0.8979026494687233,45,5,21.501764398254014
