trial,budget,method,pd,pfa,reports,observations,bits,delay_ms,detected_per_target,capture,seconds_two_methods
50,0,sense_sinr_budgeted,0.4,0.02,0,12,0.0,0.0,"[0, 0, 0, 1, 0, 1, 0, 1, 1, 0]",1.0,1.0522010000422597
51,0,proposed_c2f_adaptive_pd,1.0,0.05333333333333334,0,12,0.0,0.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1.0,1.1780553000280634
51,0,sense_sinr_budgeted,0.7,0.03666666666666667,0,12,0.0,0.0,"[1, 1, 0, 0, 1, 1, 0, 1, 1, 1]",1.0,1.1780688000144437
52,0,proposed_c2f_adaptive_pd,1.0,0.05333333333333334,0,12,0.0,0.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1.0,1.271670600050129
52,0,sense_sinr_budgeted,0.3,0.013333333333333334,0,12,0.0,0.0,"[0, 0, 0, 1, 1, 1, 0, 0, 0, 0]",1.0,1.271678899996914
53,0,proposed_c2f_adaptive_pd,1.0,0.03333333333333333,0,12,0.0,0.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1.0,1.2119188000215217
53,0,sense_sinr_budgeted,0.3,0.006666666666666667,0,12,0.0,0.0,"[0, 0, 1, 1, 1, 0, 0, 0, 0, 0]",1.0,1.2119310999987647
54,0,proposed_c2f_adaptive_pd,1.0,0.056666666666666664,0,10,0.0,0.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1.0,1.1874969999771565
54,0,sense_sinr_budgeted,0.4,0.02,0,12,0.0,0.0,"[0, 0, 0, 0, 1, 1, 1, 0, 1, 0]",1.0,1.1875056000426412
55,0,proposed_c2f_adaptive_pd,1.0,0.043333333333333335,0,12,0.0,0.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1.0,1.072939099976793
55,0,sense_sinr_budgeted,0.4,0.0033333333333333335,0,12,0.0,0.0,"[1, 0, 1, 0, 0, 0, 1, 1, 0, 0]",0.9166666666666666,1.0729476999258623
