split,scene_id,boost_db,two_cpi_h0,two_cpi_h1,perfect_two_cpi_h0,perfect_two_cpi_h1,crossfit_map_h0,crossfit_map_h1
test,69,30.0,13.746295661960648,32.441160733132705,13.13010835977163,32.49682593211675,13.668870002655463,32.47424561895816
test,70,30.0,18.166491077371617,18.788146501275172,24.427930836417254,26.56799194884514,17.863312823666494,20.169477889467228
test,71,30.0,18.49081676096518,69.69405953397829,17.56815036075114,74.20638529304989,17.24422962862692,72.81342753598656
test,72,30.0,22.457491862432043,25.076716023622232,12.388360236287792,16.637584478549496,11.518561531155722,15.32818976436063
test,73,30.0,9.65200022599472,13.013000837295694,7.477163334136562,88.31134432161318,8.396885252171455,12.404869421333188
test,74,30.0,12.652747773990125,19.237139435175795,12.57516969868842,19.581828802439073,12.671256544877615,19.340480494026796
test,75,30.0,14.700315038943675,17.072866783696178,13.861211141274836,16.90630845756657,14.345669075010576,16.654128287759256
test,76,30.0,18.826108651766653,8.73154939987451,17.061142192797302,7.603955290767292,17.94039412582763,8.087481437978603
test,77,30.0,14.2160698338369,14.173042100341608,14.004485368789918,15.021519694412191,13.58028302213917,14.600414967596848
test,78,30.0,14.705398754556544,16.608300317021452,14.992021018916471,15.848210352609891,14.589000573967017,16.43065871806148
test,79,30.0,13.466753889105,13.061860077014835,13.410864489030011,13.281846525687328,13.711902911674702,13.274441555402891
test,80,30.0,9.797659186266479,13.476216666385424,10.135848949259744,22.47924098960442,9.033884466786693,13.248685889314169
