trial,budget,joint_F,nearest_exact_F,nearest_c2f_F,placement_gap,selection_gap,total_gap,joint_feasible_pairs,candidate_pairs_before_caps,joint_mean_predicted_pd,c2f_mean_predicted_pd,c2f_reports,joint_reports,joint_plan,joint_sets,nearest_plan,c2f_sets,M,polished_F,polished_gap,accepted
7,0,1.7613705638880106,1.7613705638880106,1.7613705638880106,0.0,0.0,0.0,912,736164,0.9699839947457889,0.9734246809410652,0,0,"[0, 0]","[[[2, 0]], [[1, 0]]]","[2, 1]","[[[0, 2]], [[3, 1]]]",4,1.7613705638880106,0.0,0
7,1,1.7613705638880106,1.7613705638880106,1.7613705638880106,0.0,0.0,0.0,10752,736164,0.9699839947457889,0.9734246809410652,0,0,"[0, 0]","[[[2, 0]], [[1, 0]]]","[2, 1]","[[[0, 2]], [[3, 1]]]",4,1.7613705638880106,0.0,0
7,2,1.7613705638880106,1.7613705638880106,1.7613705638880106,0.0,0.0,0.0,46056,736164,0.9699839947457889,0.9734246809410652,0,0,"[0, 0]","[[[2, 0]], [[1, 0]]]","[2, 1]","[[[0, 2]], [[3, 1]]]",4,1.7613705638880106,0.0,0
7,4,1.7613705638880106,1.7613705638880106,1.7613705638880106,0.0,0.0,0.0,118436,736164,0.9699839947457889,0.9734246809410652,0,0,"[0, 0]","[[[2, 0]], [[1, 0]]]","[2, 1]","[[[0, 2]], [[3, 1]]]",4,1.7613705638880106,0.0,0
8,0,1.7613705638880106,1.7613705638880106,1.7613705638880106,0.0,0.0,0.0,912,361201,0.9751199678971885,0.9751199678971885,0,0,"[3, 0]","[[[0, 3], [1, 3], [2, 3]], [[1, 0]]]","[3, 0]","[[[2, 3], [0, 3], [1, 3]], [[1, 0]]]",4,1.7613705638880106,0.0,0
8,1,1.7613705638880106,1.7613705638880106,1.7560372305546772,0.0,0.005333333333333412,0.005333333333333412,8784,361201,0.9751199678971885,0.9849405836676175,1,0,"[3, 0]","[[[0, 3], [1, 3], [2, 3]], [[1, 0]]]","[3, 0]","[[[2, 3], [3, 2]], [[1, 0]]]",4,1.7560372305546772,0.005333333333333412,0
8,2,1.7613705638880106,1.7613705638880106,1.7560372305546772,0.0,0.005333333333333412,0.005333333333333412,31944,361201,0.9751199678971885,0.9849405836676175,1,0,"[3, 0]","[[[0, 3], [1, 3], [2, 3]], [[1, 0]]]","[3, 0]","[[[2, 3], [3, 2]], [[1, 0]]]",4,1.7560372305546772,0.005333333333333412,0
8,4,1.7613705638880106,1.7613705638880106,1.7560372305546772,0.0,0.005333333333333412,0.005333333333333412,69889,361201,0.9751199678971885,0.9849405836676175,1,0,"[3, 0]","[[[0, 3], [1, 3], [2, 3]], [[1, 0]]]","[3, 0]","[[[2, 3], [3, 2]], [[1, 0]]]",4,1.7560372305546772,0.005333333333333412,0
9,0,1.7613705638880106,1.7613705638880106,1.7613705638880106,0.0,0.0,0.0,912,1430416,0.9802460800168585,0.9957969032199032,0,0,"[0, 0]","[[[1, 0]], [[1, 0]]]","[0, 2]","[[[2, 0]], [[0, 2]]]",4,1.7613705638880106,0.0,0
9,1,1.7613705638880106,1.7613705638880106,1.7613705638880106,0.0,0.0,0.0,12720,1430416,0.9802460800168585,0.9957969032199032,0,0,"[0, 0]","[[[1, 0]], [[1, 0]]]","[0, 2]","[[[2, 0]], [[0, 2]]]",4,1.7613705638880106,0.0,0
9,2,1.7613705638880106,1.7613705638880106,1.7613705638880106,0.0,0.0,0.0,63120,1430416,0.9802460800168585,0.9957969032199032,0,0,"[0, 0]","[[[1, 0]], [[1, 0]]]","[0, 2]","[[[2, 0]], [[0, 2]]]",4,1.7613705638880106,0.0,0
9,4,1.7613705638880106,1.7613705638880106,1.7613705638880106,0.0,0.0,0.0,191376,1430416,0.9802460800168585,0.9957969032199032,0,0,"[0, 0]","[[[1, 0]], [[1, 0]]]","[0, 2]","[[[2, 0]], [[0, 2]]]",4,1.7613705638880106,0.0,0
10,0,1.6430686255865852,1.6430686255865852,1.6430686255865852,0.0,0.0,0.0,912,361201,0.92841641114082,0.9284163664500826,0,0,"[1, 0]","[[[0, 1], [2, 1], [3, 1]], [[3, 0]]]","[1, 3]","[[[3, 1], [2, 1], [0, 1]], [[0, 3]]]",4,1.6430686255865852,0.0,0
10,1,1.7560372305546772,1.7560372305546772,1.7560372305546772,0.0,0.0,0.0,8784,361201,0.9772820605367556,0.9772820158460183,1,1,"[1, 0]","[[[1, 3], [2, 1], [3, 1]], [[3, 0]]]","[1, 3]","[[[3, 1], [1, 3], [2, 1]], [[0, 3]]]",4,1.7560372305546772,0.0,0
10,2,1.7560372305546772,1.7560372305546772,1.7560372305546772,0.0,0.0,0.0,31944,361201,0.9772820605367556,0.9772820158460183,1,1,"[1, 0]","[[[1, 3], [2, 1], [3, 1]], [[3, 0]]]","[1, 3]","[[[3, 1], [1, 3], [2, 1]], [[0, 3]]]",4,1.7560372305546772,0.0,0
10,4,1.7560372305546772,1.7560372305546772,1.7560372305546772,0.0,0.0,0.0,69889,361201,0.9772820605367556,0.9772820158460183,1,1,"[1, 0]","[[[1, 3], [2, 1], [3, 1]], [[3, 0]]]","[1, 3]","[[[3, 1], [1, 3], [2, 1]], [[0, 3]]]",4,1.7560372305546772,0.0,0
11,0,-0.07686742898699944,-0.07686742898699944,-0.07686742898699944,0.0,0.0,0.0,912,49284,0.5677905431261461,0.5677905431261461,0,0,"[0, 1]","[[[1, 0]], [[0, 1], [2, 1], [3, 1]]]","[0, 1]","[[[1, 0]], [[3, 1], [2, 1], [0, 1]]]",4,-0.07686742898699944,0.0,0
11,1,-0.027681734944852134,-0.027681734944852134,-0.0625882189294211,0.0,0.03490648398456896,0.03490648398456896,4848,49284,0.5773682391248305,0.5712281468221079,1,1,"[0, 1]","[[[1, 0]], [[1, 3], [2, 1], [3, 1]]]","[0, 1]","[[[1, 0]], [[3, 1], [2, 1], [2, 3]]]",4,-0.02768173494485213,-3.469446951953614e-18,1
11,2,-0.027681734944852134,-0.027681734944852134,-0.02768173494485241,0.0,2.7755575615628914e-16,2.7755575615628914e-16,11208,49284,0.5773682391248305,0.5773682391248304,1,1,"[0, 1]","[[[1, 0]], [[1, 3], [2, 1], [3, 1]]]","[0, 1]","[[[1, 0]], [[3, 1], [1, 3], [2, 1]]]",4,-0.02768173494485213,-3.469446951953614e-18,0
11,4,-0.027681734944852134,-0.027681734944852134,-0.02768173494485241,0.0,2.7755575615628914e-16,2.7755575615628914e-16,16409,49284,0.5773682391248305,0.5773682391248304,1,1,"[0, 1]","[[[1, 0]], [[1, 3], [2, 1], [3, 1]]]","[0, 1]","[[[1, 0]], [[3, 1], [1, 3], [2, 1]]]",4,-0.02768173494485213,-3.469446951953614e-18,0
12,0,0.36482681507561115,0.2582434657181457,0.2582434657181457,0.10658334935746544,0.0,0.10658334935746544,912,1430416,0.6357337000703716,0.6160504606949115,0,0,"[2, 0]","[[[0, 2], [1, 2], [3, 2]], [[1, 0]]]","[1, 0]","[[[2, 1], [0, 1], [3, 1]], [[1, 0]]]",4,0.2582434657181457,0.10658334935746544,0
12,1,0.552411070809177,0.5070889356971381,0.5070889356971381,0.045322135112038864,0.0,0.045322135112038864,12720,1430416,0.6721809058868637,0.6635185999674169,1,1,"[2, 0]","[[[0, 2], [1, 2], [2, 1]], [[1, 0]]]","[1, 0]","[[[1, 2], [2, 1], [0, 1]], [[1, 0]]]",4,0.552411070809177,0.0,1
12,2,0.552411070809177,0.5466172940725978,0.5466172940725976,0.005793776736579104,2.220446049250313e-16,0.005793776736579326,63120,1430416,0.6721809058868637,0.6720925816132579,2,1,"[2, 0]","[[[0, 2], [1, 2], [2, 1]], [[1, 0]]]","[1, 0]","[[[1, 2], [2, 1], [0, 2]], [[1, 0]]]",4,0.552411070809177,0.0,1
12,4,0.552411070809177,0.5466172940725978,0.5466172940725976,0.005793776736579104,2.220446049250313e-16,0.005793776736579326,191376,1430416,0.6721809058868637,0.6720925816132579,2,1,"[2, 0]","[[[0, 2], [1, 2], [2, 1]], [[1, 0]]]","[1, 0]","[[[1, 2], [2, 1], [0, 2]], [[1, 0]]]",4,0.552411070809177,0.0,1
13,0,-0.26170938422432155,-0.2937387528383198,-0.29373875283831963,0.032029368613998244,-1.6653345369377348e-16,0.03202936861399808,912,361201,0.5359079700122562,0.5304468266990671,0,0,"[0, 3]","[[[2, 0]], [[0, 3], [1, 3], [2, 3]]]","[2, 1]","[[[0, 2]], [[3, 1], [0, 1], [2, 1]]]",4,-0.2662023760541419,0.004492991829820325,2
13,1,-0.23423042613398692,-0.25326603972155,-0.25326603972155,0.01903561358756306,0.0,0.01903561358756306,8784,361201,0.5415304629231104,0.5382711254033319,1,1,"[0, 0]","[[[2, 0]], [[1, 0], [1, 3], [3, 0]]]","[2, 1]","[[[0, 2]], [[1, 3], [3, 1], [0, 1]]]",4,-0.2392435212018056,0.0050130950678186625,2
13,2,-0.23423042613398692,-0.25326603972155,-0.25326603972155,0.01903561358756306,0.0,0.01903561358756306,31944,361201,0.5415304629231104,0.5382711254033319,1,1,"[0, 0]","[[[2, 0]], [[1, 0], [1, 3], [3, 0]]]","[2, 1]","[[[0, 2]], [[1, 3], [3, 1], [0, 1]]]",4,-0.23423042613398692,0.0,2
13,4,-0.23423042613398692,-0.25326603972155,-0.25326603972155,0.01903561358756306,0.0,0.01903561358756306,69889,361201,0.5415304629231104,0.5382711254033319,1,1,"[0, 0]","[[[2, 0]], [[1, 0], [1, 3], [3, 0]]]","[2, 1]","[[[0, 2]], [[1, 3], [3, 1], [0, 1]]]",4,-0.23423042613398692,0.0,2
